# Program:featureCounts v2.0.0; Command:"featureCounts" "-O" "-t" "gene" "-g" "ID" "-a" "sequence.gff3" "-o" "counts.txt" "mapped/SRR6176429.bam" "mapped/SRR6176430.bam" "mapped/SRR6176431.bam" "mapped/SRR6176432.bam" "mapped/SRR6176433.bam" "mapped/SRR6176434.bam" "mapped/SRR6176435.bam" "mapped/SRR6176436.bam" "mapped/SRR6176437.bam" "mapped/SRR6176438.bam" "mapped/SRR6176439.bam" "mapped/SRR6176440.bam" 
Geneid	Chr	Start	End	Strand	Length	mapped/SRR6176429.bam	mapped/SRR6176430.bam	mapped/SRR6176431.bam	mapped/SRR6176432.bam	mapped/SRR6176433.bam	mapped/SRR6176434.bam	mapped/SRR6176435.bam	mapped/SRR6176436.bam	mapped/SRR6176437.bam	mapped/SRR6176438.bam	mapped/SRR6176439.bam	mapped/SRR6176440.bam
gene-Rv0001	NC_000962.3	1	1524	+	1524	2657	3544	2715	1680	2444	3546	3526	1339	4206	4596	1621	3188
gene-Rv0002	NC_000962.3	2052	3260	+	1209	1127	1350	1172	1151	1474	1022	1132	492	1528	1894	517	1148
gene-Rv0003	NC_000962.3	3280	4437	+	1158	876	1085	1007	960	1122	677	667	501	1392	2071	262	1272
gene-Rv0004	NC_000962.3	4434	4997	+	564	537	589	549	499	601	432	415	292	668	944	111	616
gene-Rv0005	NC_000962.3	5240	7267	+	2028	12152	15908	14242	11901	14317	10794	9579	7758	20865	28060	2849	23132
gene-Rv0006	NC_000962.3	7302	9818	+	2517	13694	16962	15362	12950	15989	9544	10713	8259	20096	27838	2861	21428
gene-Rv0007	NC_000962.3	9914	10828	+	915	2534	3384	2706	2285	2668	1742	1525	1620	3617	4723	523	3621
gene-Rvnt01	NC_000962.3	10887	10960	+	74	94	116	121	98	122	124	101	50	130	227	29	107
gene-Rvnt02	NC_000962.3	11112	11184	+	73	46	99	125	37	69	117	47	21	84	163	37	89
gene-Rv0008c	NC_000962.3	11874	12311	-	438	134	180	152	105	164	175	160	96	178	263	49	166
